Relation,relation_text,document
Developer_of,"B-Developer of Software Secure, B-Application of Remote Proctor Now",0.0
URL_of,"B-URL of http://softwaresecure.com, B-Application of Remote Proctor Now",0.0
URL_of,"B-URL of http://proctoru.com, B-Application of ProctorU",0.0
Version_of,"B-Version of 3.1, B-Application of ArcView",1.0
Citation_of,"B-Citation of [39], B-PlugIn of Patch Analyst",1.0
PlugIn_of,"B-PlugIn of Patch Analyst, B-Application of ArcView",1.0
Version_of,"B-Version of 2.2, B-PlugIn of Patch Analyst",1.0
Developer_of,"B-Developer of SoftGenetics, B-Application of Mutation Surveyor",2.0
Version_of,"B-Version of 3.10, B-Application of Mutation Surveyor",2.0
Version_of,"B-Version of 14.0, B-Application of Stata",3.0
Extension_of,"B-Extension of MP, B-Application of Stata",3.0
Developer_of,"B-Developer of StataCorp, B-Application of Stata",3.0
Citation_of,"B-Citation of [14], B-PlugIn of glmnet",4.0
PlugIn_of,"B-PlugIn of glmnet, B-ProgrammingEnvironment of R",4.0
Version_of,"B-Version of 13.1, B-Application of Stata",4.0
Citation_of,"B-Citation of [13], B-Application of Stata",4.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",5.0
Version_of,"B-Version of 18.0, B-Application of SPSS",5.0
Citation_of,"B-Citation of [24], B-Application of Software Package for Statistical Analysis",6.0
Version_of,"B-Version of 19.0, B-Application of SPSS",6.0
Specification_of,"B-Application of SPSS, B-Application of Software Package for Statistical Analysis",6.0
Developer_of,"B-Developer of Brain Innovation B.V ., B-Application of BrainVoyager",7.0
Extension_of,"B-Extension of QX, B-Application of BrainVoyager",7.0
Developer_of,"B-Developer of IBM, B-Application of SPSS",8.0
Version_of,"B-Version of 22, B-Application of SPSS",8.0
Version_of,"B-Version of 11.0, B-Application of SigmaPlot",9.0
Developer_of,"B-Developer of Systat , Inc ., B-Application of SigmaPlot",9.0
Version_of,"B-Version of 2.16, B-Application of qxpak",10.0
Citation_of,"B-Citation of [56], B-PlugIn of R / Qtl",10.0
URL_of,"B-URL of http://qtlcap.ed.ac.uk, B-Application of QTL Express",10.0
Citation_of,"B-Citation of [55], B-Application of qxpak",10.0
Developer_of,"B-Developer of SPSS Inc, B-Application of SPSS",11.0
Version_of,"B-Version of 15, B-Application of SPSS",11.0
URL_of,"B-URL of http://www.microrna.org/microrna/home.do, B-Application of microRNA",12.0
URL_of,"B-URL of http://www.targetscan.org, B-Application of TargetScan",12.0
URL_of,"B-URL of http://mirdb.org/, B-Application of miRDB",12.0
URL_of,"B-URL of http://bioinfogp.cnb.csic.es/tools/venny/index.html, B-Application of Venny",12.0
Version_of,"B-Version of 2.1.0, B-Application of Venny",12.0
Developer_of,"B-Developer of GraphPad, B-Application of Prism",13.0
Version_of,"B-Version of 5, B-Application of Prism",13.0
no_relation,"O of O, O of O",14.0
Version_of,"B-Version of 3.0 4, B-Application of Gene Cluster",15.0
Version_of,"B-Version of 1.1.6r 4, B-Application of Treeview",15.0
Version_of,"B-Version of 9.3, B-Application of SAS",16.0
Developer_of,"B-Developer of SAS Institute, B-Application of SAS",16.0
URL_of,"B-URL of https://github.com/zeeev/wham, B-Application of Wham",17.0
URL_of,"B-URL of http://zeeev.github.io/wham/, B-Application of Wham",17.0
Release_of,"B-Release of 64 bit, B-OperatingSystem of Win",18.0
Version_of,"B-Version of 9.1.3, B-Application of SAS",18.0
Version_of,"B-Version of 7, B-OperatingSystem of Win",18.0
Version_of,"B-Version of 21, B-Application of SPSS",19.0
no_relation,"O of O, O of O",20.0
Developer_of,"B-Developer of GraphPad Software, B-Application of Prism",21.0
Version_of,"B-Version of 5, B-Application of Prism",21.0
Developer_of,"B-Developer of GraphPad Software, B-Application of Prism",21.0
Version_of,"B-Version of 1.5, B-Application of TRACER",22.0
Citation_of,"B-Citation of [54], B-Application of TRACER",22.0
